"","session","id","round","effort","payoff","treatment","treatment_id","theta","w","z","k","p","good","bad","succ","fail"
"292","5_21_15_12pm",13,7,1,40,"1-2-4-2",24,1,2,4,2,0.5,40,0,1,0
"293","5_21_15_12pm",13,8,1,40,"0-2-4-2",6,0,2,4,2,1,40,0,1,0
"294","5_21_15_12pm",13,9,0.02,10,"0.5-1-2-1",11,0.5,1,2,1,0.26,30,10,0,1
"295","5_21_15_12pm",13,10,0.4,18.4,"1-2-4-1",23,1,2,4,1,0.2,58.4,18.4,0,1
"296","5_21_15_12pm",13,11,1,20,"0-1-2-1",1,0,1,2,1,1,20,0,1,0
"297","5_21_15_12pm",13,12,1,30,"0-2-2-1",3,0,2,2,1,1,30,10,1,0
"298","5_21_15_12pm",13,13,0.48,17.7,"1-2-2-1",21,1,2,2,1,0.24,37.7,17.7,0,1
"299","5_21_15_12pm",13,14,0.07,9.95,"0.25-1-2-1",7,0.25,1,2,1,0.41,29.95,9.95,0,1
"300","5_21_15_12pm",13,15,1,40,"0-1-4-1",2,0,1,4,1,1,40,0,1,0
"301","5_21_15_12pm",14,1,0.49,7.6,"1-1-4-1",20,1,1,4,1,0.245,47.6,7.6,0,1
"302","5_21_15_12pm",14,2,0.67,51.02,"1-2-4-2",24,1,2,4,2,0.335,51.02,11.02,1,0
"303","5_21_15_12pm",14,3,0,10,"0.75-1-2-1",15,0.75,1,2,1,0.125,30,10,0,1
"304","5_21_15_12pm",14,4,0.99,20.2,"1-1-2-1",19,1,1,2,1,0.495,20.2,0.2,1,0
"305","5_21_15_12pm",14,5,0,40,"0-2-2-2",4,0,2,2,2,0.5,40,20,1,0
"306","5_21_15_12pm",14,6,0,50,"0-1-4-1",2,0,1,4,1,0.5,50,10,1,0
"307","5_21_15_12pm",14,7,0.2,19.2,"1-2-2-2",22,1,2,2,2,0.1,39.2,19.2,0,1
"308","5_21_15_12pm",14,8,1,20,"0.25-1-2-1",7,0.25,1,2,1,0.875,20,0,1,0
"309","5_21_15_12pm",14,9,0,20,"0-2-4-1",5,0,2,4,1,0.5,60,20,0,1
"310","5_21_15_12pm",14,10,0.19,19.64,"1-2-2-1",21,1,2,2,1,0.095,39.64,19.64,0,1
"311","5_21_15_12pm",14,11,0,40,"0-2-2-1",3,0,2,2,1,0.5,40,20,1,0
"312","5_21_15_12pm",14,12,1,50,"1-2-4-1",23,1,2,4,1,0.5,50,10,1,0
"313","5_21_15_12pm",14,13,0,60,"0-2-4-2",6,0,2,4,2,0.5,60,20,1,0
"314","5_21_15_12pm",14,14,0.21,9.56,"0.5-1-2-1",11,0.5,1,2,1,0.355,29.56,9.56,0,1
"315","5_21_15_12pm",14,15,0,10,"0-1-2-1",1,0,1,2,1,0.5,30,10,0,1
"316","5_21_15_12pm",15,1,1,20,"1-1-2-1",19,1,1,2,1,0.5,20,0,1,0
"317","5_21_15_12pm",15,2,0.9,21.9,"0.75-1-2-1",15,0.75,1,2,1,0.575,21.9,1.9,1,0
"318","5_21_15_12pm",15,3,0.13,19.83,"0-2-4-1",5,0,2,4,1,0.565,59.83,19.83,0,1
"319","5_21_15_12pm",15,4,0.35,17.55,"0-2-2-2",4,0,2,2,2,0.675,37.55,17.55,0,1
"320","5_21_15_12pm",15,5,0.96,21.57,"1-2-2-2",22,1,2,2,2,0.48,21.57,1.57,1,0
"321","5_21_15_12pm",15,6,0.7,15.1,"0-2-2-1",3,0,2,2,1,0.85,35.1,15.1,0,1
"322","5_21_15_12pm",15,7,1,30,"1-2-2-1",21,1,2,2,1,0.5,30,10,1,0
"323","5_21_15_12pm",15,8,1,40,"1-1-4-1",20,1,1,4,1,0.5,40,0,1,0
"324","5_21_15_12pm",15,9,0.85,45.55,"0-2-4-2",6,0,2,4,2,0.925,45.55,5.55,1,0
"325","5_21_15_12pm",15,10,1,0,"1-2-4-2",24,1,2,4,2,0.5,40,0,0,1
"326","5_21_15_12pm",15,11,0.7,25.1,"0.25-1-2-1",7,0.25,1,2,1,0.725,25.1,5.1,1,0
"327","5_21_15_12pm",15,12,0.75,44.37,"0-1-4-1",2,0,1,4,1,0.875,44.38,4.38,1,0
"328","5_21_15_12pm",15,13,0.8,3.6,"0.5-1-2-1",11,0.5,1,2,1,0.65,23.6,3.6,0,1
"329","5_21_15_12pm",15,14,1,10,"1-2-4-1",23,1,2,4,1,0.5,50,10,0,1
"330","5_21_15_12pm",15,15,0.66,25.64,"0-1-2-1",1,0,1,2,1,0.83,25.64,5.64,1,0
"331","5_21_15_12pm",16,1,1,0,"0.75-1-2-1",15,0.75,1,2,1,0.625,20,0,0,1
"332","5_21_15_12pm",16,2,0.39,36.96,"0-2-2-2",4,0,2,2,2,0.695,36.96,16.96,1,0
"333","5_21_15_12pm",16,3,0.5,55,"0-2-4-2",6,0,2,4,2,0.75,55,15,1,0
"334","5_21_15_12pm",16,4,0.7,45.1,"0-1-4-1",2,0,1,4,1,0.85,45.1,5.1,1,0
"335","5_21_15_12pm",16,5,0.94,21.16,"0.25-1-2-1",7,0.25,1,2,1,0.845,21.16,1.16,1,0
"336","5_21_15_12pm",16,6,0,20,"1-2-2-1",21,1,2,2,1,0,40,20,0,1
"337","5_21_15_12pm",16,7,0.5,15,"1-2-4-2",24,1,2,4,2,0.25,55,15,0,1
"338","5_21_15_12pm",16,8,0,20,"1-2-2-2",22,1,2,2,2,0,40,20,0,1
"339","5_21_15_12pm",16,9,0.69,35.24,"0-2-2-1",3,0,2,2,1,0.845,35.24,15.24,1,0
"340","5_21_15_12pm",16,10,0.54,17.08,"1-2-4-1",23,1,2,4,1,0.27,57.08,17.08,0,1
"341","5_21_15_12pm",16,11,0.7,55.1,"0-2-4-1",5,0,2,4,1,0.85,55.1,15.1,1,0
"342","5_21_15_12pm",16,12,0.63,6.03,"1-1-4-1",20,1,1,4,1,0.315,46.03,6.03,0,1
"343","5_21_15_12pm",16,13,0.52,27.3,"1-1-2-1",19,1,1,2,1,0.26,27.3,7.3,1,0
"344","5_21_15_12pm",16,14,0.63,26.03,"0-1-2-1",1,0,1,2,1,0.815,26.03,6.03,1,0
"345","5_21_15_12pm",16,15,1,20,"0.5-1-2-1",11,0.5,1,2,1,0.75,20,0,1,0
"346","5_21_15_12pm",17,1,0.7,5.1,"0.75-1-2-1",15,0.75,1,2,1,0.475,25.1,5.1,0,1
"347","5_21_15_12pm",17,2,0.7,5.1,"0.5-1-2-1",11,0.5,1,2,1,0.6,25.1,5.1,0,1
"348","5_21_15_12pm",17,3,0.98,10.4,"1-2-2-1",21,1,2,2,1,0.49,30.4,10.4,0,1
"349","5_21_15_12pm",17,4,0.81,43.44,"0-1-4-1",2,0,1,4,1,0.905,43.44,3.44,1,0
"350","5_21_15_12pm",17,5,1,0,"1-1-4-1",20,1,1,4,1,0.5,40,0,0,1
"351","5_21_15_12pm",17,6,0,20,"0-2-4-2",6,0,2,4,2,0.5,60,20,0,1
"352","5_21_15_12pm",17,7,0,20,"0-2-2-2",4,0,2,2,2,0.5,40,20,0,1
"353","5_21_15_12pm",17,8,0.51,57.4,"0-2-4-1",5,0,2,4,1,0.755,57.4,17.4,1,0
"354","5_21_15_12pm",17,9,0,20,"1-2-4-1",23,1,2,4,1,0,60,20,0,1
"355","5_21_15_12pm",17,10,0.5,37.5,"0-2-2-1",3,0,2,2,1,0.75,37.5,17.5,1,0
"356","5_21_15_12pm",17,11,0.19,9.64,"0-1-2-1",1,0,1,2,1,0.595,29.64,9.64,0,1
"357","5_21_15_12pm",17,12,0.5,15,"1-2-4-2",24,1,2,4,2,0.25,55,15,0,1
"358","5_21_15_12pm",17,13,0,20,"1-2-2-2",22,1,2,2,2,0,40,20,0,1
"359","5_21_15_12pm",17,14,0,10,"1-1-2-1",19,1,1,2,1,0,30,10,0,1
"360","5_21_15_12pm",17,15,0.67,25.51,"0.25-1-2-1",7,0.25,1,2,1,0.71,25.51,5.51,1,0
"1100","5_28_15_12pm",25,1,0.74,4.52,"0.5-1-2-1",11,0.5,1,2,1,0.62,24.52,4.52,0,1
"2910","5_28_15_12pm",25,2,0,20,"0-2-4-2",6,0,2,4,2,0.5,60,20,0,1
"681","5_28_15_12pm",25,3,0.83,23.11,"0.75-1-2-1",15,0.75,1,2,1,0.54,23.11,3.11,1,0
"941","5_28_15_12pm",25,4,0.88,42.26,"0-1-4-1",2,0,1,4,1,0.94,42.26,2.26,1,0
"1271","5_28_15_12pm",25,5,0.08,19.87,"1-2-4-2",24,1,2,4,2,0.04,59.87,19.87,0,1
"1511","5_28_15_12pm",25,6,1,0,"1-1-4-1",20,1,1,4,1,0.5,40,0,0,1
"1601","5_28_15_12pm",25,7,0.24,19.42,"1-2-2-1",21,1,2,2,1,0.12,39.42,19.42,0,1
"1941","5_28_15_12pm",25,8,0,40,"0-2-2-2",4,0,2,2,2,0.5,40,20,1,0
"2211","5_28_15_12pm",25,9,0,20,"0-2-4-1",5,0,2,4,1,0.5,60,20,0,1
"2351","5_28_15_12pm",25,10,0.41,8.32,"1-1-2-1",19,1,1,2,1,0.205,28.32,8.32,0,1
"2801","5_28_15_12pm",25,11,1,30,"0-2-2-1",3,0,2,2,1,1,30,10,1,0
"3121","5_28_15_12pm",25,12,0.49,15.2,"1-2-2-2",22,1,2,2,2,0.245,35.2,15.2,0,1
"3331","5_28_15_12pm",25,13,0.7,55.1,"1-2-4-1",23,1,2,4,1,0.35,55.1,15.1,1,0
"362","5_28_15_12pm",25,14,0.59,26.52,"0-1-2-1",1,0,1,2,1,0.795,26.52,6.52,1,0
"378","5_28_15_12pm",25,15,0.7,25.1,"0.25-1-2-1",7,0.25,1,2,1,0.725,25.1,5.1,1,0
"3001","5_28_15_12pm",36,1,0.7,30.2,"1-2-2-2",22,1,2,2,2,0.35,30.2,10.2,1,0
"3251","5_28_15_12pm",36,2,0.7,55.1,"1-2-4-1",23,1,2,4,1,0.35,55.1,15.1,1,0
"1241","5_28_15_12pm",36,3,0.7,10.2,"1-2-4-2",24,1,2,4,2,0.35,50.2,10.2,0,1
"881","5_28_15_12pm",36,4,0.5,7.5,"0-1-4-1",2,0,1,4,1,0.75,47.5,7.5,0,1
"2101","5_28_15_12pm",36,5,0.55,56.97,"0-2-4-1",5,0,2,4,1,0.775,56.97,16.98,1,0
"2751","5_28_15_12pm",36,6,0.6,16.4,"0-2-2-1",3,0,2,2,1,0.8,36.4,16.4,0,1
"385","5_28_15_12pm",36,7,0.5,27.5,"0.25-1-2-1",7,0.25,1,2,1,0.625,27.5,7.5,1,0
"1311","5_28_15_12pm",36,8,0.7,5.1,"1-1-4-1",20,1,1,4,1,0.35,45.1,5.1,0,1
"1851","5_28_15_12pm",36,9,0.55,33.95,"0-2-2-2",4,0,2,2,2,0.775,33.95,13.95,1,0
"2561","5_28_15_12pm",36,10,0.7,25.1,"1-1-2-1",19,1,1,2,1,0.35,25.1,5.1,1,0
"431","5_28_15_12pm",36,11,0.5,55,"0-2-4-2",6,0,2,4,2,0.75,55,15,1,0
"1741","5_28_15_12pm",36,12,0.7,35.1,"1-2-2-1",21,1,2,2,1,0.35,35.1,15.1,1,0
"364","5_28_15_12pm",36,13,0.5,27.5,"0-1-2-1",1,0,1,2,1,0.75,27.5,7.5,1,0
"721","5_28_15_12pm",36,14,0.55,6.97,"0.75-1-2-1",15,0.75,1,2,1,0.4,26.97,6.97,0,1
"2410","5_28_15_12pm",36,15,0.6,6.4,"0.5-1-2-1",11,0.5,1,2,1,0.55,26.4,6.4,0,1
"3510","5_28_15_12pm",45,1,0.1,59.8,"0-2-4-2",6,0,2,4,2,0.55,59.8,19.8,1,0
"2011","5_28_15_12pm",45,2,0,20,"0-2-2-2",4,0,2,2,2,0.5,40,20,0,1
"1071","5_28_15_12pm",45,3,0,20,"1-2-4-2",24,1,2,4,2,0,60,20,0,1
"2510","5_28_15_12pm",45,4,0.09,9.92,"0.5-1-2-1",11,0.5,1,2,1,0.295,29.92,9.92,0,1
"2671","5_28_15_12pm",45,5,0.02,40,"0-2-2-1",3,0,2,2,1,0.51,40,20,1,0
"368","5_28_15_12pm",45,6,0.02,10,"0.25-1-2-1",7,0.25,1,2,1,0.385,30,10,0,1
"3271","5_28_15_12pm",45,7,0.02,20,"1-2-4-1",23,1,2,4,1,0.01,60,20,0,1
"1631","5_28_15_12pm",45,8,0.02,20,"1-2-2-1",21,1,2,2,1,0.01,40,20,0,1
"2331","5_28_15_12pm",45,9,0.02,60,"0-2-4-1",5,0,2,4,1,0.51,60,20,1,0
"3481","5_28_15_12pm",45,10,0.02,10,"0-1-2-1",1,0,1,2,1,0.51,30,10,0,1
"2961","5_28_15_12pm",45,11,0.01,20,"1-2-2-2",22,1,2,2,2,0.005,40,20,0,1
"1491","5_28_15_12pm",45,12,0.02,10,"1-1-4-1",20,1,1,4,1,0.01,50,10,0,1
"1011","5_28_15_12pm",45,13,0.02,10,"0-1-4-1",2,0,1,4,1,0.51,50,10,0,1
"2431","5_28_15_12pm",45,14,0.02,10,"1-1-2-1",19,1,1,2,1,0.01,30,10,0,1
"711","5_28_15_12pm",45,15,0.02,30,"0.75-1-2-1",15,0.75,1,2,1,0.135,30,10,1,0
"2610","5_28_15_12pm",46,1,1,20,"0.5-1-2-1",11,0.5,1,2,1,0.75,20,0,1,0
"370","5_28_15_12pm",46,2,1,20,"0.25-1-2-1",7,0.25,1,2,1,0.875,20,0,1,0
"3111","5_28_15_12pm",46,3,0.25,18.75,"1-2-2-2",22,1,2,2,2,0.125,38.75,18.75,0,1
"2721","5_28_15_12pm",46,4,1,30,"0-2-2-1",3,0,2,2,1,1,30,10,1,0
"921","5_28_15_12pm",46,5,1,40,"0-1-4-1",2,0,1,4,1,1,40,0,1,0
"1721","5_28_15_12pm",46,6,0.5,17.5,"1-2-2-1",21,1,2,2,1,0.25,37.5,17.5,0,1
"3110","5_28_15_12pm",46,7,1,40,"0-2-4-2",6,0,2,4,2,1,40,0,1,0
"2571","5_28_15_12pm",46,8,0.01,10,"1-1-2-1",19,1,1,2,1,0.005,30,10,0,1
"3321","5_28_15_12pm",46,9,1,10,"1-2-4-1",23,1,2,4,1,0.5,50,10,0,1
"1161","5_28_15_12pm",46,10,0.23,18.94,"1-2-4-2",24,1,2,4,2,0.115,58.94,18.94,0,1
"2071","5_28_15_12pm",46,11,1,20,"0-2-2-2",4,0,2,2,2,1,20,0,1,0
"2321","5_28_15_12pm",46,12,1,50,"0-2-4-1",5,0,2,4,1,1,50,10,1,0
"1411","5_28_15_12pm",46,13,1,40,"1-1-4-1",20,1,1,4,1,0.5,40,0,1,0
"591","5_28_15_12pm",46,14,1,0,"0.75-1-2-1",15,0.75,1,2,1,0.625,20,0,0,1
"3461","5_28_15_12pm",46,15,1,20,"0-1-2-1",1,0,1,2,1,1,20,0,1,0
"2110","5_28_15_12pm",47,1,0.29,9.16,"0.5-1-2-1",11,0.5,1,2,1,0.395,29.16,9.16,0,1
"2781","5_28_15_12pm",47,2,0,20,"0-2-2-1",3,0,2,2,1,0.5,40,20,0,1
"1681","5_28_15_12pm",47,3,0.28,19.22,"1-2-2-1",21,1,2,2,1,0.14,39.22,19.22,0,1
"2421","5_28_15_12pm",47,4,0.21,9.56,"1-1-2-1",19,1,1,2,1,0.105,29.56,9.56,0,1
"1051","5_28_15_12pm",47,5,0.33,17.82,"1-2-4-2",24,1,2,4,2,0.165,57.82,17.82,0,1
"387","5_28_15_12pm",47,6,0.26,29.32,"0.25-1-2-1",7,0.25,1,2,1,0.505,29.32,9.32,1,0
"761","5_28_15_12pm",47,7,0.26,9.32,"0.75-1-2-1",15,0.75,1,2,1,0.255,29.32,9.32,0,1
"1561","5_28_15_12pm",47,8,0.52,7.3,"1-1-4-1",20,1,1,4,1,0.26,47.3,7.3,0,1
"481","5_28_15_12pm",47,9,0.35,17.55,"0-2-4-2",6,0,2,4,2,0.675,57.55,17.55,0,1
"1031","5_28_15_12pm",47,10,0.29,49.16,"0-1-4-1",2,0,1,4,1,0.645,49.16,9.16,1,0
"3471","5_28_15_12pm",47,11,0.28,29.22,"0-1-2-1",1,0,1,2,1,0.64,29.22,9.22,1,0
"1951","5_28_15_12pm",47,12,0.32,37.95,"0-2-2-2",4,0,2,2,2,0.66,37.95,17.95,1,0
"2901","5_28_15_12pm",47,13,0.19,19.28,"1-2-2-2",22,1,2,2,2,0.095,39.28,19.28,0,1
"2171","5_28_15_12pm",47,14,0.28,59.22,"0-2-4-1",5,0,2,4,1,0.64,59.22,19.22,1,0
"3351","5_28_15_12pm",47,15,0.28,19.22,"1-2-4-1",23,1,2,4,1,0.14,59.22,19.22,0,1
"3531","5_28_15_12pm",48,1,0.69,25.24,"0-1-2-1",1,0,1,2,1,0.845,25.24,5.24,1,0
"2911","5_28_15_12pm",48,2,0.41,16.64,"1-2-2-2",22,1,2,2,2,0.205,36.64,16.64,0,1
"1121","5_28_15_12pm",48,3,0.6,12.8,"1-2-4-2",24,1,2,4,2,0.3,52.8,12.8,0,1
"1901","5_28_15_12pm",48,4,0.49,35.2,"0-2-2-2",4,0,2,2,2,0.745,35.2,15.2,1,0
"3211","5_28_15_12pm",48,5,1,50,"1-2-4-1",23,1,2,4,1,0.5,50,10,1,0
"2261","5_28_15_12pm",48,6,0.64,55.9,"0-2-4-1",5,0,2,4,1,0.82,55.9,15.9,1,0
"511","5_28_15_12pm",48,7,0.5,55,"0-2-4-2",6,0,2,4,2,0.75,55,15,1,0
"377","5_28_15_12pm",48,8,0.81,23.44,"0.25-1-2-1",7,0.25,1,2,1,0.78,23.44,3.44,1,0
"410","5_28_15_12pm",48,9,1,20,"0.5-1-2-1",11,0.5,1,2,1,0.75,20,0,1,0
"1701","5_28_15_12pm",48,10,0.62,36.16,"1-2-2-1",21,1,2,2,1,0.31,36.16,16.16,1,0
"971","5_28_15_12pm",48,11,0.64,45.9,"0-1-4-1",2,0,1,4,1,0.82,45.9,5.9,1,0
"2841","5_28_15_12pm",48,12,0.63,36.03,"0-2-2-1",3,0,2,2,1,0.815,36.03,16.03,1,0
"2441","5_28_15_12pm",48,13,0.58,6.64,"1-1-2-1",19,1,1,2,1,0.29,26.64,6.64,0,1
"601","5_28_15_12pm",48,14,0.75,24.37,"0.75-1-2-1",15,0.75,1,2,1,0.5,24.38,4.38,1,0
"1351","5_28_15_12pm",48,15,1,40,"1-1-4-1",20,1,1,4,1,0.5,40,0,1,0
"1321","5_28_15_12pm",49,1,1,0,"1-1-4-1",20,1,1,4,1,0.5,40,0,0,1
"1111","5_28_15_12pm",49,2,1,0,"1-2-4-2",24,1,2,4,2,0.5,40,0,0,1
"3261","5_28_15_12pm",49,3,1,50,"1-2-4-1",23,1,2,4,1,0.5,50,10,1,0
"2791","5_28_15_12pm",49,4,0.7,35.1,"0-2-2-1",3,0,2,2,1,0.85,35.1,15.1,1,0
"981","5_28_15_12pm",49,5,0.41,48.32,"0-1-4-1",2,0,1,4,1,0.705,48.32,8.32,1,0
"671","5_28_15_12pm",49,6,0.95,20.97,"0.75-1-2-1",15,0.75,1,2,1,0.6,20.98,0.98,1,0
"1710","5_28_15_12pm",49,7,0.7,25.1,"0.5-1-2-1",11,0.5,1,2,1,0.6,25.1,5.1,1,0
"380","5_28_15_12pm",49,8,0.56,26.86,"0.25-1-2-1",7,0.25,1,2,1,0.655,26.86,6.86,1,0
"3431","5_28_15_12pm",49,9,0.41,28.32,"0-1-2-1",1,0,1,2,1,0.705,28.32,8.32,1,0
"2381","5_28_15_12pm",49,10,1,20,"1-1-2-1",19,1,1,2,1,0.5,20,0,1,0
"441","5_28_15_12pm",49,11,0.4,56.8,"0-2-4-2",6,0,2,4,2,0.7,56.8,16.8,1,0
"1571","5_28_15_12pm",49,12,1,30,"1-2-2-1",21,1,2,2,1,0.5,30,10,1,0
"2131","5_28_15_12pm",49,13,0.4,58.4,"0-2-4-1",5,0,2,4,1,0.7,58.4,18.4,1,0
"2951","5_28_15_12pm",49,14,1,20,"1-2-2-2",22,1,2,2,2,0.5,20,0,1,0
"1981","5_28_15_12pm",49,15,0.4,16.8,"0-2-2-2",4,0,2,2,2,0.7,36.8,16.8,0,1
"911","5_28_15_12pm",50,1,0.68,45.38,"0-1-4-1",2,0,1,4,1,0.84,45.38,5.38,1,0
"3010","5_28_15_12pm",50,2,0.42,56.47,"0-2-4-2",6,0,2,4,2,0.71,56.47,16.47,1,0
"1610","5_28_15_12pm",50,3,0.5,27.5,"0.5-1-2-1",11,0.5,1,2,1,0.5,27.5,7.5,1,0
"3141","5_28_15_12pm",50,4,0.22,19.52,"1-2-4-1",23,1,2,4,1,0.11,59.52,19.52,0,1
"2051","5_28_15_12pm",50,5,0.5,35,"0-2-2-2",4,0,2,2,2,0.75,35,15,1,0
"2851","5_28_15_12pm",50,6,0.45,37.98,"0-2-2-1",3,0,2,2,1,0.725,37.98,17.97,1,0
"1691","5_28_15_12pm",50,7,0.42,18.24,"1-2-2-1",21,1,2,2,1,0.21,38.24,18.24,0,1
"2181","5_28_15_12pm",50,8,0.62,16.16,"0-2-4-1",5,0,2,4,1,0.81,56.16,16.16,0,1
"1191","5_28_15_12pm",50,9,0,20,"1-2-4-2",24,1,2,4,2,0,60,20,0,1
"2881","5_28_15_12pm",50,10,0.29,18.32,"1-2-2-2",22,1,2,2,2,0.145,38.32,18.32,0,1
"2361","5_28_15_12pm",50,11,0.5,7.5,"1-1-2-1",19,1,1,2,1,0.25,27.5,7.5,0,1
"1341","5_28_15_12pm",50,12,1,0,"1-1-4-1",20,1,1,4,1,0.5,40,0,0,1
"581","5_28_15_12pm",50,13,0.51,27.4,"0.75-1-2-1",15,0.75,1,2,1,0.38,27.4,7.4,1,0
"374","5_28_15_12pm",50,14,0.69,25.24,"0.25-1-2-1",7,0.25,1,2,1,0.72,25.24,5.24,1,0
"3511","5_28_15_12pm",50,15,0.68,25.38,"0-1-2-1",1,0,1,2,1,0.84,25.38,5.38,1,0
"3021","5_28_15_12pm",26,1,0.3,18.2,"1-2-2-2",22,1,2,2,2,0.15,38.2,18.2,0,1
"2341","5_28_15_12pm",26,2,1,50,"0-2-4-1",5,0,2,4,1,1,50,10,1,0
"367","5_28_15_12pm",26,3,0.88,22.26,"0.25-1-2-1",7,0.25,1,2,1,0.815,22.26,2.26,1,0
"3410","5_28_15_12pm",26,4,1,40,"0-2-4-2",6,0,2,4,2,1,40,0,1,0
"3451","5_28_15_12pm",26,5,0.96,20.78,"0-1-2-1",1,0,1,2,1,0.98,20.78,0.78,1,0
"951","5_28_15_12pm",26,6,1,40,"0-1-4-1",2,0,1,4,1,1,40,0,1,0
"610","5_28_15_12pm",26,7,0.99,20.2,"0.5-1-2-1",11,0.5,1,2,1,0.745,20.2,0.2,1,0
"2451","5_28_15_12pm",26,8,0,10,"1-1-2-1",19,1,1,2,1,0,30,10,0,1
"1841","5_28_15_12pm",26,9,1,20,"0-2-2-2",4,0,2,2,2,1,20,0,1,0
"2701","5_28_15_12pm",26,10,1,30,"0-2-2-1",3,0,2,2,1,1,30,10,1,0
"1201","5_28_15_12pm",26,11,0.3,58.2,"1-2-4-2",24,1,2,4,2,0.15,58.2,18.2,1,0
"1611","5_28_15_12pm",26,12,0.44,18.06,"1-2-2-1",21,1,2,2,1,0.22,38.06,18.06,0,1
"3311","5_28_15_12pm",26,13,0.45,17.98,"1-2-4-1",23,1,2,4,1,0.225,57.98,17.97,0,1
"1501","5_28_15_12pm",26,14,0,10,"1-1-4-1",20,1,1,4,1,0,50,10,0,1
"641","5_28_15_12pm",26,15,0.22,29.52,"0.75-1-2-1",15,0.75,1,2,1,0.235,29.52,9.52,1,0
"2061","5_28_15_12pm",27,1,0,40,"0-2-2-2",4,0,2,2,2,0.5,40,20,1,0
"461","5_28_15_12pm",27,2,0,20,"0-2-4-2",6,0,2,4,2,0.5,60,20,0,1
"931","5_28_15_12pm",27,3,0.54,7.08,"0-1-4-1",2,0,1,4,1,0.77,47.08,7.08,0,1
"379","5_28_15_12pm",27,4,0.39,28.48,"0.25-1-2-1",7,0.25,1,2,1,0.57,28.48,8.48,1,0
"611","5_28_15_12pm",27,5,0.72,4.82,"0.75-1-2-1",15,0.75,1,2,1,0.485,24.82,4.82,0,1
"2010","5_28_15_12pm",27,6,1,20,"0.5-1-2-1",11,0.5,1,2,1,0.75,20,0,1,0
"2401","5_28_15_12pm",27,7,1,20,"1-1-2-1",19,1,1,2,1,0.5,20,0,1,0
"3051","5_28_15_12pm",27,8,0.45,15.95,"1-2-2-2",22,1,2,2,2,0.225,35.95,15.95,0,1
"1661","5_28_15_12pm",27,9,0.7,35.1,"1-2-2-1",21,1,2,2,1,0.35,35.1,15.1,1,0
"1331","5_28_15_12pm",27,10,1,0,"1-1-4-1",20,1,1,4,1,0.5,40,0,0,1
"1231","5_28_15_12pm",27,11,0.68,50.75,"1-2-4-2",24,1,2,4,2,0.34,50.75,10.75,1,0
"3371","5_28_15_12pm",27,12,1,10,"1-2-4-1",23,1,2,4,1,0.5,50,10,0,1
"2251","5_28_15_12pm",27,13,0,20,"0-2-4-1",5,0,2,4,1,0.5,60,20,0,1
"2771","5_28_15_12pm",27,14,1,30,"0-2-2-1",3,0,2,2,1,1,30,10,1,0
"3551","5_28_15_12pm",27,15,1,20,"0-1-2-1",1,0,1,2,1,1,20,0,1,0
"3521","5_28_15_12pm",28,1,0.56,26.86,"0-1-2-1",1,0,1,2,1,0.78,26.86,6.86,1,0
"2591","5_28_15_12pm",28,2,0.17,9.71,"1-1-2-1",19,1,1,2,1,0.085,29.71,9.71,0,1
"1761","5_28_15_12pm",28,3,0.65,15.77,"1-2-2-1",21,1,2,2,1,0.325,35.77,15.77,0,1
"2310","5_28_15_12pm",28,4,0.16,9.74,"0.5-1-2-1",11,0.5,1,2,1,0.33,29.74,9.74,0,1
"1831","5_28_15_12pm",28,5,0.51,34.8,"0-2-2-2",4,0,2,2,2,0.755,34.8,14.8,1,0
"383","5_28_15_12pm",28,6,0.58,26.64,"0.25-1-2-1",7,0.25,1,2,1,0.665,26.64,6.64,1,0
"3610","5_28_15_12pm",28,7,0.52,14.59,"0-2-4-2",6,0,2,4,2,0.76,54.59,14.59,0,1
"2611","5_28_15_12pm",28,8,0.3,39.1,"0-2-2-1",3,0,2,2,1,0.65,39.1,19.1,1,0
"1391","5_28_15_12pm",28,9,0.95,0.97,"1-1-4-1",20,1,1,4,1,0.475,40.98,0.98,0,1
"3191","5_28_15_12pm",28,10,0.24,19.42,"1-2-4-1",23,1,2,4,1,0.12,59.42,19.42,0,1
"3031","5_28_15_12pm",28,11,0.03,19.98,"1-2-2-2",22,1,2,2,2,0.015,39.98,19.98,0,1
"2201","5_28_15_12pm",28,12,0.33,18.91,"0-2-4-1",5,0,2,4,1,0.665,58.91,18.91,0,1
"1151","5_28_15_12pm",28,13,0.03,19.98,"1-2-4-2",24,1,2,4,2,0.015,59.98,19.98,0,1
"741","5_28_15_12pm",28,14,0.04,9.98,"0.75-1-2-1",15,0.75,1,2,1,0.145,29.98,9.98,0,1
"1041","5_28_15_12pm",28,15,0.08,9.94,"0-1-4-1",2,0,1,4,1,0.54,49.94,9.94,0,1
"1861","5_28_15_12pm",29,1,0.51,34.8,"0-2-2-2",4,0,2,2,2,0.755,34.8,14.8,1,0
"363","5_28_15_12pm",29,2,0.25,9.37,"0-1-2-1",1,0,1,2,1,0.625,29.38,9.38,0,1
"3221","5_28_15_12pm",29,3,0.98,10.4,"1-2-4-1",23,1,2,4,1,0.49,50.4,10.4,0,1
"2111","5_28_15_12pm",29,4,0.55,56.97,"0-2-4-1",5,0,2,4,1,0.775,56.97,16.98,1,0
"910","5_28_15_12pm",29,5,0.34,28.84,"0.5-1-2-1",11,0.5,1,2,1,0.42,28.84,8.84,1,0
